race,discuss_politics,ideology,party,church_goer,age,gender,political_interest,patriotism,state,ground_truth
white,Yes,slightly conservative,a weak Republican,attend church,24,man,not very,extremely good,Virginia,Non-voter
,Yes,moderate,an independent,do not attend church,53,man,somewhat,extremely good,Washington,Non-voter
white,Yes,slightly conservative,a strong Republican,attend church,64,woman,very,extremely good,New Mexico,Trump
hispanic,,conservative,an independent,attend church,42,man,,,Texas,Non-voter
white,Yes,slightly conservative,an independent who leans Democratic,do not attend church,24,man,somewhat,extremely good,Georgia,Non-voter
white,Yes,slightly conservative,an independent who leans Democratic,attend church,68,woman,somewhat,extremely good,,Non-voter
white,Yes,liberal,an independent who leans Democratic,do not attend church,45,man,somewhat,moderately good,Idaho,Non-voter
white,Yes,moderate,a weak Republican,attend church,34,woman,somewhat,extremely good,Idaho,Trump
white,Yes,,an independent,attend church,37,woman,not at all,extremely good,Kansas,Non-voter
black,Yes,moderate,a strong democrat,attend church,72,woman,somewhat,extremely good,North Carolina,Clinton
white,Yes,liberal,a strong democrat,attend church,71,woman,somewhat,extremely good,Tennessee,Clinton
white,Yes,extremely conservative,an independent who leans Republican,attend church,75,man,very,extremely good,Tennessee,Trump
white,Yes,moderate,an independent who leans Republican,attend church,23,man,somewhat,extremely good,Indiana,Trump
white,No,slightly conservative,an independent,do not attend church,53,man,somewhat,neither good nor bad,Illinois,Trump
black,Yes,liberal,a weak Democrat,attend church,56,woman,somewhat,moderately good,Georgia,Clinton
hispanic,Yes,liberal,a strong democrat,do not attend church,21,woman,very,neither good nor bad,California,Clinton
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,53,woman,somewhat,extremely good,Pennsylvania,Trump
white,,slightly conservative,an independent who leans Republican,attend church,46,man,,,Louisiana,Non-voter
hispanic,Yes,slightly liberal,a strong democrat,do not attend church,57,woman,somewhat,extremely good,Arizona,Clinton
white,Yes,conservative,a strong Republican,attend church,24,woman,somewhat,moderately good,Colorado,Trump
white,No,,a strong democrat,attend church,85,man,somewhat,moderately good,Massachusetts,Clinton
white,No,,a strong Republican,attend church,56,woman,not at all,extremely good,Mississippi,Trump
white,Yes,slightly conservative,a weak Republican,attend church,38,man,somewhat,extremely good,Illinois,Trump
black,Yes,moderate,a weak Democrat,attend church,38,woman,somewhat,moderately good,Texas,Clinton
white,No,,an independent,attend church,30,woman,not at all,extremely good,Tennessee,Non-voter
white,No,,an independent,do not attend church,58,woman,not very,extremely good,New Hampshire,Non-voter
white,Yes,extremely liberal,a strong democrat,attend church,41,woman,somewhat,extremely good,Massachusetts,Clinton
black,Yes,,a strong democrat,attend church,50,man,somewhat,a little good,Virginia,Clinton
white,Yes,slightly liberal,an independent,attend church,31,woman,not very,moderately good,Texas,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,44,woman,very,moderately good,North Carolina,Clinton
white,Yes,liberal,a weak Democrat,do not attend church,27,woman,not very,moderately bad,California,Clinton
black,Yes,liberal,an independent,do not attend church,41,woman,very,neither good nor bad,,Non-voter
black,,,a strong democrat,attend church,50,woman,,,New York,Non-voter
white,Yes,moderate,an independent,do not attend church,68,man,very,extremely good,Louisiana,Trump
white,Yes,conservative,an independent who leans Republican,attend church,71,man,somewhat,extremely good,North Carolina,Trump
white,Yes,,an independent who leans Republican,attend church,67,woman,not at all,extremely good,Illinois,Trump
hispanic,Yes,moderate,an independent who leans Democratic,do not attend church,25,woman,not very,moderately good,Texas,Non-voter
white,Yes,slightly liberal,an independent who leans Democratic,do not attend church,38,,somewhat,neither good nor bad,Florida,Clinton
white,Yes,liberal,a strong democrat,do not attend church,81,man,very,extremely good,California,Clinton
white,Yes,liberal,a strong democrat,do not attend church,64,man,very,neither good nor bad,California,Clinton
,Yes,slightly liberal,,attend church,70,man,somewhat,moderately good,Virginia,Clinton
white,Yes,conservative,a weak Republican,attend church,68,man,very,moderately good,Georgia,Trump
black,,,a strong democrat,attend church,29,woman,,,North Carolina,Non-voter
white,Yes,extremely liberal,an independent who leans Democratic,do not attend church,59,woman,very,extremely good,Maryland,Clinton
white,Yes,,a weak Republican,attend church,25,man,not very,extremely good,Ohio,Trump
asian,,slightly conservative,a weak Republican,do not attend church,34,man,,,Illinois,Non-voter
,,extremely liberal,a strong democrat,attend church,52,woman,,,California,Non-voter
hispanic,No,slightly conservative,a weak Democrat,attend church,48,man,somewhat,neither good nor bad,New Mexico,Non-voter
white,Yes,slightly conservative,a weak Republican,attend church,28,man,very,extremely good,Massachusetts,Non-voter
white,Yes,extremely liberal,a strong democrat,attend church,37,man,somewhat,moderately good,Maryland,Clinton
white,Yes,slightly liberal,a weak Republican,do not attend church,50,woman,somewhat,extremely good,Texas,Trump
white,Yes,,a weak Republican,attend church,90,woman,not at all,extremely good,Kansas,Trump
white,Yes,moderate,an independent who leans Republican,attend church,76,woman,somewhat,extremely good,Colorado,Trump
asian,,slightly conservative,a weak Republican,attend church,36,woman,,,Illinois,Non-voter
white,Yes,conservative,an independent who leans Republican,attend church,19,woman,somewhat,extremely good,Connecticut,Trump
white,Yes,conservative,a strong Republican,attend church,61,woman,very,extremely good,Tennessee,Trump
white,Yes,moderate,a strong democrat,attend church,52,woman,very,neither good nor bad,,Clinton
white,,,an independent who leans Republican,attend church,41,man,,,North Carolina,Non-voter
white,No,conservative,a strong Republican,attend church,28,man,somewhat,moderately good,Arkansas,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,66,woman,somewhat,moderately bad,California,Clinton
white,No,,an independent,attend church,51,man,somewhat,extremely good,California,Clinton
white,Yes,,an independent,do not attend church,26,man,not very,neither good nor bad,Virginia,Non-voter
white,No,,a weak Republican,attend church,56,man,not very,extremely good,California,Clinton
hispanic,Yes,liberal,a strong democrat,do not attend church,20,woman,not very,extremely good,California,Clinton
white,No,,an independent who leans Democratic,do not attend church,26,woman,somewhat,moderately good,Texas,Trump
white,Yes,,a strong democrat,do not attend church,41,man,somewhat,extremely good,North Carolina,Clinton
white,Yes,liberal,a strong democrat,do not attend church,25,man,very,extremely good,North Carolina,Clinton
white,Yes,conservative,a strong Republican,attend church,60,woman,somewhat,extremely good,Texas,Trump
white,Yes,slightly conservative,a strong democrat,do not attend church,64,woman,very,extremely good,Colorado,Clinton
white,Yes,,an independent,do not attend church,49,woman,not at all,extremely good,Pennsylvania,Non-voter
black,Yes,moderate,a weak Democrat,do not attend church,36,woman,somewhat,neither good nor bad,Nevada,Clinton
,No,moderate,an independent,attend church,62,man,somewhat,extremely good,North Carolina,Trump
white,Yes,conservative,a strong Republican,attend church,59,man,very,extremely good,Maryland,Trump
white,Yes,conservative,an independent who leans Republican,attend church,55,woman,very,extremely good,Texas,Trump
white,Yes,slightly liberal,an independent who leans Republican,attend church,34,woman,somewhat,extremely good,Arkansas,Trump
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,59,man,somewhat,neither good nor bad,Texas,Trump
black,,,a strong democrat,attend church,34,man,,,New York,Non-voter
white,Yes,moderate,a strong democrat,do not attend church,63,woman,somewhat,neither good nor bad,West Virginia,Non-voter
white,Yes,conservative,a strong Republican,attend church,45,man,somewhat,extremely good,California,Trump
,,slightly conservative,an independent who leans Republican,attend church,55,man,,,North Carolina,Non-voter
white,Yes,conservative,a strong Republican,attend church,57,woman,not very,moderately good,Michigan,Trump
black,Yes,,an independent,attend church,21,woman,not very,moderately good,South Carolina,Clinton
white,Yes,moderate,an independent who leans Democratic,do not attend church,58,man,very,extremely good,Ohio,Clinton
white,Yes,liberal,a strong Republican,do not attend church,25,man,somewhat,a little good,New Jersey,Clinton
white,Yes,,a strong democrat,attend church,52,woman,somewhat,extremely good,Georgia,Non-voter
black,Yes,liberal,a strong democrat,attend church,65,woman,very,moderately good,Tennessee,Clinton
white,Yes,conservative,a strong Republican,attend church,57,man,not very,extremely good,North Carolina,Trump
white,Yes,conservative,an independent who leans Republican,attend church,69,man,very,extremely good,California,Trump
white,Yes,,a strong democrat,do not attend church,22,woman,somewhat,moderately good,California,Trump
white,Yes,slightly conservative,an independent who leans Republican,attend church,54,man,somewhat,extremely good,Arizona,Trump
white,Yes,slightly liberal,an independent who leans Democratic,attend church,55,woman,somewhat,extremely good,Connecticut,Non-voter
black,Yes,moderate,an independent who leans Democratic,attend church,46,woman,not very,extremely good,Pennsylvania,Clinton
white,,moderate,an independent,do not attend church,46,woman,,,Ohio,Non-voter
white,Yes,,a weak Republican,attend church,73,woman,somewhat,extremely good,Ohio,Non-voter
white,Yes,conservative,a strong Republican,attend church,70,man,very,extremely good,South Carolina,Trump
white,No,moderate,a strong democrat,do not attend church,79,man,not very,extremely good,Oregon,Clinton
white,Yes,conservative,a weak Republican,attend church,54,man,not very,extremely good,Kentucky,Trump
black,Yes,,a strong democrat,attend church,33,woman,not very,neither good nor bad,Ohio,Clinton
white,Yes,,an independent,attend church,81,woman,not at all,extremely good,New York,Non-voter
asian,Yes,moderate,an independent,attend church,28,woman,not at all,neither good nor bad,California,Non-voter
white,Yes,moderate,an independent who leans Democratic,do not attend church,32,woman,not very,extremely good,Maine,Clinton
white,Yes,,a weak Republican,do not attend church,38,man,somewhat,extremely good,Kentucky,Non-voter
white,No,moderate,an independent,attend church,,woman,not very,moderately good,Illinois,Non-voter
white,No,moderate,an independent,do not attend church,61,man,not at all,a little good,Washington,Non-voter
white,Yes,slightly liberal,an independent,attend church,36,woman,very,neither good nor bad,Texas,Non-voter
white,,,a strong democrat,attend church,67,man,,,Minnesota,Non-voter
black,Yes,moderate,a strong democrat,do not attend church,44,woman,very,neither good nor bad,Florida,Clinton
white,Yes,slightly liberal,a weak Republican,attend church,46,man,somewhat,moderately good,Wisconsin,Non-voter
black,Yes,,a strong democrat,attend church,55,woman,very,extremely good,Kentucky,Clinton
black,Yes,,a strong democrat,attend church,30,woman,very,extremely good,Maryland,Clinton
,Yes,slightly conservative,a weak Republican,attend church,73,man,somewhat,moderately good,Florida,Non-voter
asian,Yes,,a weak Republican,attend church,,man,not very,moderately good,Hawaii,Non-voter
white,Yes,,a weak Republican,attend church,64,man,very,extremely good,Kentucky,Non-voter
white,No,slightly conservative,a weak Republican,do not attend church,,man,not at all,extremely good,Colorado,Non-voter
black,Yes,,an independent,do not attend church,33,woman,not very,neither good nor bad,North Carolina,Non-voter
white,Yes,extremely liberal,a strong democrat,do not attend church,46,woman,somewhat,neither good nor bad,Iowa,Clinton
hispanic,Yes,moderate,an independent,do not attend church,53,woman,not very,neither good nor bad,Oregon,Clinton
white,Yes,liberal,a strong democrat,attend church,90,woman,very,neither good nor bad,Florida,Clinton
white,Yes,extremely liberal,a weak Democrat,do not attend church,23,man,somewhat,moderately bad,Oregon,Clinton
white,Yes,slightly liberal,a strong democrat,attend church,74,woman,somewhat,extremely good,New Jersey,Clinton
white,Yes,moderate,an independent,attend church,77,woman,very,extremely good,Tennessee,Trump
white,Yes,slightly liberal,a weak Democrat,do not attend church,22,woman,very,a little good,Ohio,Clinton
white,Yes,conservative,a strong Republican,attend church,20,woman,somewhat,extremely good,Tennessee,Trump
white,Yes,slightly conservative,a weak Republican,attend church,34,woman,somewhat,extremely good,,Non-voter
black,Yes,,a strong democrat,attend church,69,man,somewhat,neither good nor bad,Mississippi,Clinton
white,Yes,liberal,an independent who leans Democratic,attend church,37,woman,somewhat,neither good nor bad,Virginia,Clinton
white,Yes,conservative,a weak Republican,attend church,46,man,somewhat,moderately good,New York,Trump
white,Yes,slightly conservative,a strong Republican,attend church,33,man,not very,extremely good,North Carolina,Non-voter
black,,,a strong democrat,attend church,28,woman,,,Minnesota,Non-voter
,,slightly conservative,an independent who leans Republican,attend church,54,woman,,,Oregon,Non-voter
,No,conservative,a strong Republican,attend church,21,man,not very,extremely good,Kentucky,Non-voter
white,Yes,slightly conservative,a weak Republican,do not attend church,40,man,not very,moderately good,Wisconsin,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,60,woman,not very,moderately good,Minnesota,Non-voter
hispanic,Yes,slightly conservative,a weak Republican,attend church,40,woman,somewhat,extremely good,Texas,Trump
white,Yes,extremely conservative,a strong Republican,attend church,44,man,not very,moderately good,Alabama,Trump
hispanic,Yes,extremely liberal,a strong democrat,attend church,19,woman,somewhat,moderately good,Arizona,Clinton
white,Yes,slightly conservative,a weak Republican,attend church,79,man,somewhat,extremely good,Florida,Trump
white,Yes,conservative,a weak Republican,do not attend church,46,man,not very,extremely good,Arizona,Trump
white,No,moderate,an independent,do not attend church,63,man,somewhat,extremely good,Illinois,Trump
white,Yes,conservative,a weak Republican,do not attend church,30,man,somewhat,extremely good,Wisconsin,Trump
hispanic,Yes,slightly conservative,an independent,do not attend church,38,man,somewhat,neither good nor bad,California,Non-voter
white,Yes,slightly conservative,a weak Democrat,attend church,65,woman,somewhat,extremely good,South Carolina,Clinton
asian,No,moderate,a weak Republican,do not attend church,39,man,not at all,neither good nor bad,Florida,Non-voter
white,Yes,conservative,a strong Republican,attend church,44,man,somewhat,extremely good,Wisconsin,Trump
white,Yes,slightly conservative,an independent who leans Republican,do not attend church,82,woman,very,extremely good,Wisconsin,Non-voter
white,No,,a weak Democrat,attend church,76,woman,not very,extremely good,California,Non-voter
white,No,moderate,a weak Republican,attend church,54,woman,somewhat,moderately good,Florida,Trump
white,,moderate,an independent,do not attend church,36,woman,,,Minnesota,Non-voter
white,Yes,liberal,a strong democrat,do not attend church,70,woman,very,extremely good,California,Clinton
white,Yes,conservative,a strong Republican,do not attend church,66,man,very,extremely good,Massachusetts,Trump
asian,Yes,extremely conservative,a strong Republican,attend church,68,man,not at all,extremely good,Texas,Non-voter
white,,,a weak Republican,do not attend church,47,man,,,California,Non-voter
hispanic,No,,an independent,attend church,18,woman,not at all,moderately good,Florida,Non-voter
white,Yes,slightly conservative,a strong Republican,attend church,38,woman,very,extremely good,Pennsylvania,Trump
white,Yes,,a strong Republican,attend church,38,woman,somewhat,extremely good,California,Trump
white,No,,an independent,do not attend church,19,man,not at all,a little good,Vermont,Trump
white,Yes,liberal,a strong democrat,do not attend church,69,woman,somewhat,moderately good,Hawaii,Clinton
native American,Yes,slightly liberal,an independent who leans Republican,do not attend church,,woman,not very,moderately good,Oklahoma,Non-voter
asian,Yes,conservative,a weak Republican,do not attend church,55,man,somewhat,extremely good,Colorado,Clinton
white,No,,a weak Democrat,do not attend church,,woman,not very,moderately good,California,Non-voter
white,Yes,moderate,a weak Republican,attend church,73,woman,somewhat,extremely good,New York,Clinton
white,Yes,slightly liberal,a weak Democrat,do not attend church,62,woman,not at all,extremely good,Minnesota,Trump
white,Yes,slightly liberal,an independent,attend church,39,woman,very,moderately good,Tennessee,Clinton
white,No,,an independent,do not attend church,59,woman,not at all,moderately good,Michigan,Trump
white,No,,a weak Democrat,do not attend church,37,woman,not very,moderately good,North Carolina,Non-voter
white,Yes,slightly conservative,a weak Republican,attend church,73,man,somewhat,extremely good,Michigan,Non-voter
,Yes,slightly conservative,an independent who leans Republican,do not attend church,53,man,very,extremely good,North Dakota,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,attend church,,woman,somewhat,extremely good,California,Non-voter
hispanic,Yes,,an independent who leans Republican,attend church,56,man,somewhat,extremely good,Washington,Trump
white,Yes,liberal,a strong democrat,do not attend church,65,woman,somewhat,neither good nor bad,Arizona,Clinton
black,No,liberal,an independent,attend church,26,man,somewhat,a little bad,Texas,Non-voter
black,Yes,,a strong democrat,attend church,66,man,not very,neither good nor bad,Florida,Clinton
white,Yes,extremely conservative,a strong Republican,attend church,28,woman,somewhat,extremely good,West Virginia,Trump
white,Yes,conservative,a strong Republican,do not attend church,55,woman,somewhat,extremely good,Michigan,Non-voter
black,,moderate,a strong democrat,attend church,70,woman,,,New York,Non-voter
asian,Yes,liberal,a weak Democrat,attend church,34,woman,somewhat,moderately bad,California,Clinton
white,Yes,conservative,an independent who leans Republican,attend church,49,man,very,extremely good,Idaho,Trump
white,Yes,extremely liberal,a strong democrat,do not attend church,77,man,not very,moderately good,Pennsylvania,Clinton
white,Yes,,a weak Republican,attend church,39,woman,somewhat,extremely good,California,Non-voter
hispanic,Yes,moderate,an independent who leans Democratic,do not attend church,25,woman,somewhat,neither good nor bad,Florida,Non-voter
white,Yes,conservative,a strong Republican,attend church,58,woman,somewhat,extremely good,Michigan,Trump
white,Yes,slightly liberal,a strong democrat,do not attend church,50,man,somewhat,moderately good,Minnesota,Clinton
white,Yes,moderate,a weak Republican,do not attend church,50,woman,somewhat,moderately good,California,Clinton
white,Yes,slightly conservative,a weak Republican,attend church,54,man,somewhat,moderately good,Florida,Non-voter
white,Yes,moderate,a strong democrat,attend church,69,man,very,moderately good,Ohio,Clinton
asian,Yes,moderate,an independent who leans Democratic,attend church,50,man,somewhat,moderately good,Pennsylvania,Non-voter
white,,moderate,an independent,do not attend church,64,man,,,Wyoming,Non-voter
white,Yes,conservative,a strong Republican,attend church,41,woman,somewhat,extremely good,Minnesota,Trump
white,Yes,conservative,a strong Republican,do not attend church,61,man,not very,extremely good,New York,Trump
white,Yes,,a strong Republican,attend church,34,man,somewhat,extremely good,Alabama,Trump
white,Yes,,an independent,do not attend church,73,woman,not very,moderately good,Wisconsin,Non-voter
hispanic,Yes,liberal,a strong democrat,do not attend church,24,,somewhat,neither good nor bad,Illinois,Non-voter
asian,,,a strong democrat,do not attend church,55,woman,,,North Carolina,Non-voter
white,,moderate,a strong democrat,do not attend church,66,woman,,,Florida,Non-voter
native American,Yes,moderate,an independent who leans Democratic,attend church,52,man,very,extremely good,Nebraska,Non-voter
white,Yes,liberal,a strong democrat,attend church,42,man,very,moderately good,Arizona,Clinton
white,Yes,slightly liberal,a weak Democrat,do not attend church,37,woman,not very,moderately good,Wyoming,Non-voter
white,,liberal,an independent,attend church,59,woman,,,California,Non-voter
white,No,liberal,a strong democrat,attend church,,woman,not very,extremely good,Mississippi,Non-voter
white,Yes,extremely liberal,a strong democrat,do not attend church,27,man,very,extremely good,Virginia,Clinton
white,Yes,moderate,an independent,do not attend church,75,man,somewhat,neither good nor bad,New Hampshire,Non-voter
hispanic,No,slightly liberal,an independent who leans Democratic,do not attend church,38,man,not very,moderately good,Texas,Non-voter
white,Yes,,an independent who leans Republican,do not attend church,67,woman,not very,a little good,Texas,Non-voter
hispanic,,extremely liberal,a strong democrat,do not attend church,49,woman,,,California,Non-voter
hispanic,No,,an independent,do not attend church,34,woman,somewhat,neither good nor bad,California,Clinton
white,Yes,conservative,a strong Republican,attend church,34,woman,very,extremely good,Texas,Trump
native American,Yes,conservative,an independent who leans Republican,attend church,,man,somewhat,extremely good,Florida,Trump
black,Yes,conservative,an independent who leans Democratic,do not attend church,28,woman,very,extremely bad,North Carolina,Non-voter
white,Yes,extremely liberal,a strong democrat,do not attend church,54,woman,very,extremely bad,Pennsylvania,Clinton
hispanic,Yes,slightly conservative,a strong democrat,attend church,33,woman,somewhat,extremely good,Texas,Clinton
white,No,,an independent,attend church,32,woman,not at all,extremely good,Indiana,Non-voter
white,,,an independent who leans Democratic,do not attend church,41,woman,,,Florida,Non-voter
white,Yes,conservative,a strong Republican,attend church,78,woman,not very,extremely good,Nevada,Trump
,,conservative,a strong Republican,attend church,61,woman,,,Texas,Non-voter
hispanic,Yes,extremely conservative,an independent who leans Republican,attend church,,man,very,extremely good,Georgia,Trump
white,,moderate,a weak Democrat,attend church,53,woman,,,New York,Non-voter
black,,moderate,an independent,attend church,64,man,,,Georgia,Clinton
white,Yes,moderate,an independent,attend church,67,woman,very,moderately good,New York,Clinton
white,Yes,extremely conservative,a strong Republican,attend church,28,man,somewhat,extremely good,North Carolina,Trump
white,Yes,conservative,a strong Republican,attend church,32,man,very,extremely good,Michigan,Trump
hispanic,Yes,,an independent,attend church,26,woman,not very,neither good nor bad,Utah,Clinton
white,,conservative,a strong Republican,attend church,38,man,,,Washington,Non-voter
white,Yes,slightly conservative,a weak Republican,do not attend church,32,man,very,extremely good,Texas,Non-voter
hispanic,Yes,,an independent who leans Democratic,attend church,38,woman,very,moderately good,Texas,Non-voter
white,No,,a weak Democrat,do not attend church,,woman,not very,moderately good,Florida,Clinton
white,Yes,moderate,a weak Democrat,do not attend church,47,woman,somewhat,extremely good,California,Clinton
hispanic,Yes,,an independent who leans Democratic,attend church,35,man,not very,moderately good,Illinois,Non-voter
hispanic,,moderate,an independent,attend church,47,woman,,,Florida,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,64,man,very,extremely good,Texas,Trump
white,Yes,moderate,a weak Democrat,do not attend church,56,woman,somewhat,moderately good,Pennsylvania,Non-voter
black,Yes,moderate,an independent,attend church,33,woman,somewhat,neither good nor bad,Illinois,Non-voter
hispanic,Yes,moderate,a strong democrat,attend church,46,man,somewhat,extremely good,Nebraska,Clinton
white,Yes,liberal,a strong democrat,attend church,68,woman,not very,extremely good,Indiana,Clinton
white,,,a weak Democrat,attend church,60,woman,,,Wisconsin,Non-voter
white,Yes,,an independent who leans Republican,attend church,66,woman,somewhat,extremely good,Louisiana,Trump
white,Yes,extremely liberal,a strong democrat,do not attend church,86,woman,very,neither good nor bad,Washington,Clinton
white,,liberal,a weak Democrat,do not attend church,34,man,,,North Carolina,Non-voter
white,,conservative,a weak Democrat,attend church,89,man,,,New Jersey,Non-voter
asian,,moderate,a weak Democrat,attend church,36,man,,,Texas,Non-voter
white,,slightly conservative,an independent who leans Democratic,attend church,65,woman,,,Pennsylvania,Non-voter
white,Yes,liberal,an independent who leans Democratic,do not attend church,27,woman,somewhat,a little good,Washington,Non-voter
white,Yes,slightly liberal,a weak Democrat,do not attend church,44,man,very,extremely good,Hawaii,Clinton
white,Yes,moderate,an independent who leans Republican,attend church,25,man,not very,a little good,Florida,Non-voter
white,Yes,moderate,an independent who leans Democratic,attend church,75,woman,somewhat,extremely good,Kentucky,Clinton
white,,moderate,an independent who leans Democratic,do not attend church,69,man,,,Missouri,Non-voter
white,,,a weak Democrat,attend church,72,man,,,Pennsylvania,Non-voter
white,Yes,extremely conservative,a strong Republican,attend church,47,man,somewhat,extremely good,Wisconsin,Trump
white,Yes,slightly liberal,an independent,do not attend church,37,woman,somewhat,moderately good,Nebraska,Trump
white,,extremely conservative,a strong Republican,do not attend church,43,woman,,,Indiana,Non-voter
white,Yes,slightly conservative,an independent who leans Republican,attend church,31,man,very,extremely good,Arizona,Trump
white,Yes,conservative,an independent,do not attend church,76,woman,very,moderately good,California,Trump
white,Yes,moderate,an independent,attend church,,woman,somewhat,extremely good,Oklahoma,Non-voter
white,Yes,,an independent who leans Republican,attend church,60,man,not very,extremely good,Indiana,Non-voter
white,Yes,conservative,a strong Republican,attend church,74,woman,somewhat,extremely good,Texas,Trump
black,Yes,slightly liberal,a strong democrat,do not attend church,39,woman,somewhat,neither good nor bad,California,Clinton
white,Yes,extremely liberal,a strong democrat,do not attend church,34,man,somewhat,neither good nor bad,Texas,Clinton
white,Yes,moderate,an independent who leans Democratic,do not attend church,63,man,somewhat,extremely good,Wisconsin,Clinton
white,Yes,liberal,a strong democrat,do not attend church,61,man,very,moderately good,Pennsylvania,Clinton
asian,No,extremely conservative,an independent who leans Republican,attend church,77,man,somewhat,extremely good,Ohio,Non-voter
white,Yes,moderate,an independent,do not attend church,39,woman,not very,neither good nor bad,Nevada,Non-voter
black,Yes,,a strong democrat,attend church,48,woman,somewhat,neither good nor bad,Georgia,Non-voter
white,Yes,slightly liberal,a strong democrat,do not attend church,35,man,very,neither good nor bad,Illinois,Clinton
white,Yes,slightly conservative,an independent who leans Republican,attend church,59,man,not very,neither good nor bad,Connecticut,Trump
white,,extremely conservative,a strong Republican,attend church,64,woman,,,Indiana,Non-voter
white,Yes,conservative,an independent,attend church,56,man,very,moderately good,Minnesota,Trump
white,,,a strong democrat,do not attend church,21,woman,,,South Carolina,Non-voter
white,,,an independent,do not attend church,44,man,,,New Hampshire,Non-voter
white,No,moderate,an independent,do not attend church,64,man,not at all,a little good,Maryland,Non-voter
asian,Yes,,a weak Republican,attend church,37,woman,very,extremely good,New York,Trump
white,Yes,liberal,a strong democrat,do not attend church,64,man,very,neither good nor bad,Arizona,Clinton
,,conservative,a strong Republican,attend church,64,woman,,,North Carolina,Non-voter
white,,slightly liberal,an independent,attend church,61,woman,,,Missouri,Non-voter
white,Yes,moderate,an independent who leans Republican,do not attend church,46,man,somewhat,extremely good,Tennessee,Non-voter
black,No,liberal,a strong democrat,attend church,36,man,not very,neither good nor bad,North Carolina,Clinton
white,Yes,moderate,an independent who leans Republican,do not attend church,56,woman,not very,extremely good,New Mexico,Non-voter
white,Yes,conservative,a strong Republican,attend church,67,man,somewhat,extremely good,Utah,Non-voter
white,Yes,moderate,a strong Republican,attend church,82,woman,not very,extremely good,Arkansas,Trump
white,Yes,,a strong democrat,attend church,23,man,not very,neither good nor bad,New York,Non-voter
white,Yes,,a weak Republican,attend church,45,woman,somewhat,extremely good,Ohio,Trump
white,Yes,moderate,a weak Democrat,attend church,64,woman,not at all,extremely good,Ohio,Clinton
hispanic,Yes,slightly conservative,a weak Republican,do not attend church,33,man,very,moderately good,Texas,Trump
white,Yes,moderate,an independent who leans Democratic,do not attend church,59,man,somewhat,neither good nor bad,New Mexico,Clinton
white,Yes,,a weak Democrat,attend church,53,woman,somewhat,extremely good,Michigan,Trump
black,Yes,liberal,a strong democrat,attend church,57,woman,somewhat,extremely good,North Carolina,Clinton
white,Yes,slightly liberal,a strong democrat,do not attend church,84,woman,very,extremely good,Kentucky,Clinton
white,,,a strong Republican,attend church,64,woman,,,New Mexico,Non-voter
hispanic,,moderate,a strong Republican,attend church,42,man,,,New Mexico,Non-voter
white,Yes,conservative,an independent who leans Republican,do not attend church,66,man,somewhat,extremely good,North Carolina,Trump
white,,extremely conservative,a strong Republican,attend church,56,woman,,,Florida,Non-voter
,Yes,,an independent,attend church,,,not at all,moderately bad,Vermont,Non-voter
white,,,an independent,attend church,20,woman,,,Montana,Non-voter
white,Yes,conservative,a strong Republican,do not attend church,49,man,very,extremely good,Michigan,Non-voter
white,No,,an independent,do not attend church,60,man,not at all,neither good nor bad,Ohio,Trump
white,Yes,moderate,a strong democrat,attend church,44,man,very,moderately good,California,Clinton
white,No,,a weak Democrat,attend church,24,man,very,extremely good,Kentucky,Non-voter
,Yes,slightly liberal,an independent who leans Republican,attend church,29,woman,not very,moderately good,Ohio,Trump
white,Yes,conservative,a strong Republican,attend church,65,woman,somewhat,extremely good,Ohio,Trump
hispanic,Yes,conservative,an independent who leans Republican,attend church,45,man,somewhat,extremely good,Maryland,Trump
white,Yes,slightly conservative,an independent who leans Republican,attend church,39,man,somewhat,extremely good,Virginia,Trump
white,Yes,moderate,an independent,do not attend church,35,man,somewhat,neither good nor bad,Texas,Non-voter
hispanic,Yes,conservative,a weak Democrat,attend church,48,woman,very,moderately good,Texas,Non-voter
hispanic,Yes,,a strong democrat,do not attend church,62,woman,not very,moderately good,New Jersey,Clinton
white,Yes,slightly conservative,a weak Democrat,attend church,66,woman,somewhat,extremely good,West Virginia,Trump
white,Yes,slightly conservative,an independent who leans Democratic,attend church,69,woman,somewhat,moderately good,Massachusetts,Clinton
white,,conservative,a strong Republican,do not attend church,68,man,,,Texas,Non-voter
white,Yes,,an independent,do not attend church,73,woman,not at all,extremely good,Michigan,Trump
white,Yes,conservative,a strong Republican,attend church,58,man,somewhat,extremely good,Texas,Trump
white,Yes,,a strong democrat,do not attend church,54,woman,somewhat,extremely good,Pennsylvania,Non-voter
white,Yes,moderate,a weak Democrat,attend church,70,woman,not very,extremely good,Michigan,Non-voter
white,Yes,liberal,a weak Republican,do not attend church,50,woman,somewhat,extremely good,California,Trump
hispanic,Yes,conservative,an independent who leans Republican,attend church,69,man,somewhat,extremely good,Nevada,Trump
white,No,moderate,a weak Democrat,do not attend church,44,woman,not at all,moderately good,New Jersey,Clinton
black,Yes,,a weak Democrat,attend church,56,woman,not very,moderately good,North Carolina,Non-voter
